"","V1","rich"
"370",162,6
"371",184,6
"372",185,6
"373",186,6
"374",187,6
"375",211,6
"376",212,6
"377",240,6
"378",241,6
"379",242,6
"380",246,6
"381",247,6
"382",248,6
"383",249,6
"384",250,6
"385",251,6
"386",273,6
"387",327,6
"388",328,6
"389",329,6
"390",330,6
"391",331,6
"392",332,6
"393",333,6
"394",334,6
"395",335,6
"396",336,6
"397",360,6
"398",448,6
"399",449,6
"400",450,6
"401",453,6
"402",454,6
"403",455,6
"404",456,6
"405",1903,6
"406",2929,6
"407",3437,6
"408",4854,6
"409",5354,6
"410",5380,6
"411",6167,6
"412",6168,6
"413",6196,6
"414",6316,6
"415",6456,6
"416",6457,6
"417",6458,6
"418",6459,6
"419",6461,6
"420",6593,6
"421",6594,6
"422",6595,6
"423",6596,6
"424",6610,6
"425",6612,6
"426",6617,6
"427",6621,6
"428",6728,6
"429",6729,6
"430",6730,6
"431",6731,6
"432",6732,6
"433",6734,6
"434",6735,6
"435",6736,6
"436",6747,6
"437",6748,6
"438",6755,6
"439",6762,6
"440",6837,6
"441",6882,6
"442",6901,6
"443",7038,6
"444",7060,6
"445",7164,6
"446",7961,6
"447",8476,6
"448",8927,6
"449",8936,6
"450",8945,6
"451",9194,6
"452",9220,6
"453",9320,6
"454",9846,6
"455",10041,6
"456",10137,6
"457",10723,6
"458",10903,6
"459",11116,6
"460",11212,6
"461",11430,6
"462",11978,6
"463",12076,6
"464",12078,6
"465",12079,6
"466",12086,6
"467",12266,6
"468",12295,6
"469",12297,6
"470",11,7
"471",27,7
"472",34,7
"473",36,7
"474",69,7
"475",73,7
"476",109,7
"477",110,7
"478",111,7
"479",136,7
"480",137,7
"481",139,7
"482",140,7
"483",142,7
"484",188,7
"485",189,7
"486",190,7
"487",243,7
"488",244,7
"489",245,7
"490",255,7
"491",3438,7
"492",3440,7
"493",5085,7
"494",5838,7
"495",5859,7
"496",5860,7
"497",5898,7
"498",5899,7
"499",6048,7
"500",6049,7
"501",6050,7
"502",6166,7
"503",6169,7
"504",6172,7
"505",6194,7
"506",6195,7
"507",6313,7
"508",6317,7
"509",6318,7
"510",6319,7
"511",6320,7
"512",6341,7
"513",6342,7
"514",6343,7
"515",6344,7
"516",6452,7
"517",6454,7
"518",6455,7
"519",6472,7
"520",6473,7
"521",6478,7
"522",6479,7
"523",6480,7
"524",6481,7
"525",6589,7
"526",6590,7
"527",6591,7
"528",6592,7
"529",6613,7
"530",6614,7
"531",6615,7
"532",6616,7
"533",6733,7
"534",6750,7
"535",6751,7
"536",6752,7
"537",6753,7
"538",6754,7
"539",6757,7
"540",6856,7
"541",6872,7
"542",6873,7
"543",6891,7
"544",6892,7
"545",6893,7
"546",6894,7
"547",6895,7
"548",6898,7
"549",6899,7
"550",6902,7
"551",6908,7
"552",7004,7
"553",7037,7
"554",7039,7
"555",7040,7
"556",7061,7
"557",7063,7
"558",7154,7
"559",7155,7
"560",7157,7
"561",7159,7
"562",7160,7
"563",7161,7
"564",7165,7
"565",7166,7
"566",7284,7
"567",7285,7
"568",7287,7
"569",7288,7
"570",7289,7
"571",7291,7
"572",7293,7
"573",7294,7
"574",7295,7
"575",7313,7
"576",7403,7
"577",7404,7
"578",8589,7
"579",9409,7
"580",9760,7
"581",10223,7
"582",10475,7
"583",11137,7
"584",11211,7
"585",11301,7
"586",11688,7
"587",11858,7
"588",11985,7
"589",12031,7
"590",12032,7
"591",12033,7
"592",12034,7
"593",12074,7
"594",12077,7
"595",12138,7
"596",12238,7
"597",12247,7
"598",12248,7
"599",12278,7
"600",12290,7
"601",30,8
"602",31,8
"603",65,8
"604",66,8
"605",67,8
"606",68,8
"607",131,8
"608",132,8
"609",133,8
"610",135,8
"611",177,8
"612",199,8
"613",200,8
"614",258,8
"615",259,8
"616",260,8
"617",261,8
"618",262,8
"619",341,8
"620",342,8
"621",343,8
"622",344,8
"623",465,8
"624",466,8
"625",467,8
"626",471,8
"627",619,8
"628",624,8
"629",787,8
"630",792,8
"631",957,8
"632",958,8
"633",959,8
"634",960,8
"635",962,8
"636",963,8
"637",964,8
"638",966,8
"639",1132,8
"640",1133,8
"641",1134,8
"642",1135,8
"643",1136,8
"644",1308,8
"645",1309,8
"646",1310,8
"647",2263,8
"648",2424,8
"649",2596,8
"650",2760,8
"651",2931,8
"652",3048,8
"653",3102,8
"654",3267,8
"655",3270,8
"656",3717,8
"657",4399,8
"658",4988,8
"659",6045,8
"660",6046,8
"661",6047,8
"662",6051,8
"663",6170,8
"664",6171,8
"665",6173,8
"666",6191,8
"667",6192,8
"668",6193,8
"669",6197,8
"670",6312,8
"671",6335,8
"672",6336,8
"673",6337,8
"674",6338,8
"675",6339,8
"676",6340,8
"677",6451,8
"678",6453,8
"679",6462,8
"680",6475,8
"681",6476,8
"682",6477,8
"683",6482,8
"684",6483,8
"685",6485,8
"686",6486,8
"687",6586,8
"688",6587,8
"689",6588,8
"690",6618,8
"691",6619,8
"692",6620,8
"693",6725,8
"694",6726,8
"695",6727,8
"696",6737,8
"697",6738,8
"698",6745,8
"699",6746,8
"700",6756,8
"701",6763,8
"702",6870,8
"703",6871,8
"704",6875,8
"705",6876,8
"706",6877,8
"707",6878,8
"708",6879,8
"709",6880,8
"710",6881,8
"711",6884,8
"712",6890,8
"713",6900,8
"714",6903,8
"715",6906,8
"716",6909,8
"717",7007,8
"718",7009,8
"719",7010,8
"720",7011,8
"721",7012,8
"722",7013,8
"723",7014,8
"724",7015,8
"725",7032,8
"726",7033,8
"727",7034,8
"728",7035,8
"729",7036,8
"730",7042,8
"731",7043,8
"732",7059,8
"733",7062,8
"734",7130,8
"735",7131,8
"736",7132,8
"737",7133,8
"738",7134,8
"739",7135,8
"740",7136,8
"741",7137,8
"742",7138,8
"743",7139,8
"744",7156,8
"745",7158,8
"746",7162,8
"747",7163,8
"748",7167,8
"749",7185,8
"750",7283,8
"751",7286,8
"752",7290,8
"753",7292,8
"754",7312,8
"755",7314,8
"756",7334,8
"757",7405,8
"758",7406,8
"759",7410,8
"760",7675,8
"761",7971,8
"762",8482,8
"763",8759,8
"764",8770,8
"765",9416,8
"766",9552,8
"767",9844,8
"768",9961,8
"769",10599,8
"770",10819,8
"771",11079,8
"772",11171,8
"773",11611,8
"774",11687,8
"775",11762,8
"776",11789,8
"777",11854,8
"778",11918,8
"779",11923,8
"780",11924,8
"781",12040,8
"782",12258,8
"783",12265,8
"784",12292,8
"785",168,9
"786",169,9
"787",170,9
"788",171,9
"789",172,9
"790",173,9
"791",174,9
"792",175,9
"793",176,9
"794",198,9
"795",201,9
"796",202,9
"797",216,9
"798",217,9
"799",257,9
"800",263,9
"801",264,9
"802",326,9
"803",345,9
"804",346,9
"805",347,9
"806",348,9
"807",349,9
"808",350,9
"809",468,9
"810",469,9
"811",470,9
"812",620,9
"813",621,9
"814",622,9
"815",623,9
"816",785,9
"817",786,9
"818",788,9
"819",789,9
"820",790,9
"821",791,9
"822",961,9
"823",1137,9
"824",1304,9
"825",1305,9
"826",1306,9
"827",1307,9
"828",2261,9
"829",2930,9
"830",3098,9
"831",3101,9
"832",3266,9
"833",3268,9
"834",3269,9
"835",4187,9
"836",4685,9
"837",5379,9
"838",5450,9
"839",5593,9
"840",5659,9
"841",5808,9
"842",5886,9
"843",6025,9
"844",6027,9
"845",6044,9
"846",6174,9
"847",6181,9
"848",6189,9
"849",6190,9
"850",6310,9
"851",6311,9
"852",6321,9
"853",6334,9
"854",6345,9
"855",6474,9
"856",6484,9
"857",6489,9
"858",6585,9
"859",6606,9
"860",6622,9
"861",6623,9
"862",6624,9
"863",6724,9
"864",6744,9
"865",6758,9
"866",6760,9
"867",6764,9
"868",6863,9
"869",6869,9
"870",6874,9
"871",6896,9
"872",6897,9
"873",6904,9
"874",6905,9
"875",6927,9
"876",6957,9
"877",7001,9
"878",7005,9
"879",7006,9
"880",7008,9
"881",7017,9
"882",7018,9
"883",7027,9
"884",7028,9
"885",7118,9
"886",7140,9
"887",7144,9
"888",7183,9
"889",7184,9
"890",7186,9
"891",7187,9
"892",7296,9
"893",7315,9
"894",7402,9
"895",7409,9
"896",7411,9
"897",7429,9
"898",7430,9
"899",7431,9
"900",8277,9
"901",8776,9
"902",8854,9
"903",9013,9
"904",9014,9
"905",9324,9
"906",9428,9
"907",9642,9
"908",9736,9
"909",10135,9
"910",10136,9
"911",10545,9
"912",10816,9
"913",10990,9
"914",11388,9
"915",11389,9
"916",11432,9
"917",11648,9
"918",11885,9
"919",11919,9
"920",11927,9
"921",11986,9
"922",12075,9
"923",12139,9
"924",12286,9
"925",178,10
"926",218,10
"927",236,10
"928",278,10
"929",279,10
"930",280,10
"931",281,10
"932",282,10
"933",283,10
"934",284,10
"935",285,10
"936",374,10
"937",375,10
"938",1755,10
"939",2104,10
"940",3099,10
"941",3100,10
"942",4111,10
"943",4787,10
"944",4843,10
"945",5068,10
"946",5229,10
"947",5347,10
"948",5360,10
"949",5504,10
"950",5530,10
"951",5581,10
"952",5582,10
"953",5610,10
"954",5657,10
"955",5658,10
"956",5677,10
"957",5684,10
"958",5731,10
"959",5732,10
"960",5733,10
"961",5748,10
"962",5791,10
"963",5878,10
"964",5896,10
"965",5897,10
"966",6022,10
"967",6023,10
"968",6024,10
"969",6026,10
"970",6031,10
"971",6035,10
"972",6165,10
"973",6175,10
"974",6187,10
"975",6188,10
"976",6199,10
"977",6346,10
"978",6450,10
"979",6487,10
"980",6488,10
"981",6499,10
"982",6584,10
"983",6597,10
"984",6605,10
"985",6634,10
"986",6710,10
"987",6759,10
"988",6776,10
