"","V1","x","y","id"
"1",2046,-11386282.1083801,6478047.84807365,1
"2",12081,12113717.8916199,-4309952.15192635,2
"3",39,-1186282.1083801,8586047.84807365,3
"4",40,-1086282.1083801,8586047.84807365,3
"5",48,613717.891619898,8586047.84807365,3
"6",49,713717.891619898,8586047.84807365,3
"7",50,813717.891619898,8586047.84807365,3
"8",51,1413717.8916199,8586047.84807365,3
"9",52,1513717.8916199,8586047.84807365,3
"10",53,1613717.8916199,8586047.84807365,3
"11",54,1713717.8916199,8586047.84807365,3
"12",55,1813717.8916199,8586047.84807365,3
"13",56,1913717.8916199,8586047.84807365,3
"14",57,2013717.8916199,8586047.84807365,3
"15",58,2913717.8916199,8586047.84807365,3
"16",59,3013717.8916199,8586047.84807365,3
"17",77,-1086282.1083801,8462047.84807365,3
"18",78,-986282.108380102,8462047.84807365,3
"19",83,413717.891619898,8462047.84807365,3
"20",84,513717.891619898,8462047.84807365,3
"21",85,613717.891619898,8462047.84807365,3
"22",86,713717.891619898,8462047.84807365,3
"23",87,813717.891619898,8462047.84807365,3
"24",88,3113717.8916199,8462047.84807365,3
"25",89,3213717.8916199,8462047.84807365,3
"26",90,3313717.8916199,8462047.84807365,3
"27",91,3413717.8916199,8462047.84807365,3
"28",92,3513717.8916199,8462047.84807365,3
"29",93,3613717.8916199,8462047.84807365,3
"30",94,3713717.8916199,8462047.84807365,3
"31",118,-2386282.1083801,8338047.84807365,3
"32",119,-2286282.1083801,8338047.84807365,3
"33",120,-1086282.1083801,8338047.84807365,3
"34",125,513717.891619898,8338047.84807365,3
"35",126,613717.891619898,8338047.84807365,3
"36",127,813717.891619898,8338047.84807365,3
"37",128,913717.891619898,8338047.84807365,3
"38",129,2613717.8916199,8338047.84807365,3
"39",130,2713717.8916199,8338047.84807365,3
"40",156,-2486282.1083801,8214047.84807365,3
"41",157,-2386282.1083801,8214047.84807365,3
"42",158,-2286282.1083801,8214047.84807365,3
"43",159,-1186282.1083801,8214047.84807365,3
"44",160,-1086282.1083801,8214047.84807365,3
"45",164,2413717.8916199,8214047.84807365,3
"46",165,2513717.8916199,8214047.84807365,3
"47",166,2613717.8916199,8214047.84807365,3
"48",167,2713717.8916199,8214047.84807365,3
"49",206,-2386282.1083801,8090047.84807365,3
"50",207,-2286282.1083801,8090047.84807365,3
"51",208,-1386282.1083801,8090047.84807365,3
"52",209,-1286282.1083801,8090047.84807365,3
"53",214,2413717.8916199,8090047.84807365,3
"54",215,2513717.8916199,8090047.84807365,3
"55",269,-2386282.1083801,7966047.84807365,3
"56",270,-1486282.1083801,7966047.84807365,3
"57",275,2413717.8916199,7966047.84807365,3
"58",276,2513717.8916199,7966047.84807365,3
"59",277,2613717.8916199,7966047.84807365,3
"60",351,-2786282.1083801,7842047.84807365,3
"61",355,-1586282.1083801,7842047.84807365,3
"62",356,-1486282.1083801,7842047.84807365,3
"63",358,-1286282.1083801,7842047.84807365,3
"64",366,2613717.8916199,7842047.84807365,3
"65",367,2713717.8916199,7842047.84807365,3
"66",368,2813717.8916199,7842047.84807365,3
"67",472,-2786282.1083801,7718047.84807365,3
"68",475,-1886282.1083801,7718047.84807365,3
"69",476,-1786282.1083801,7718047.84807365,3
"70",477,-1686282.1083801,7718047.84807365,3
"71",478,-1586282.1083801,7718047.84807365,3
"72",629,-2586282.1083801,7594047.84807365,3
"73",630,-2086282.1083801,7594047.84807365,3
"74",631,-1986282.1083801,7594047.84807365,3
"75",632,-1886282.1083801,7594047.84807365,3
"76",633,-1786282.1083801,7594047.84807365,3
"77",634,-1686282.1083801,7594047.84807365,3
"78",635,-1586282.1083801,7594047.84807365,3
"79",796,-2686282.1083801,7470047.84807365,3
"80",797,-2286282.1083801,7470047.84807365,3
"81",798,-2186282.1083801,7470047.84807365,3
"82",799,-2086282.1083801,7470047.84807365,3
"83",800,-1986282.1083801,7470047.84807365,3
"84",801,-1886282.1083801,7470047.84807365,3
"85",970,-2786282.1083801,7346047.84807365,3
"86",971,-2486282.1083801,7346047.84807365,3
"87",972,-2386282.1083801,7346047.84807365,3
"88",973,-2286282.1083801,7346047.84807365,3
"89",1140,-2886282.1083801,7222047.84807365,3
"90",1141,-2686282.1083801,7222047.84807365,3
"91",1142,-2586282.1083801,7222047.84807365,3
"92",1143,-2486282.1083801,7222047.84807365,3
"93",1312,-2986282.1083801,7098047.84807365,3
"94",1313,-2886282.1083801,7098047.84807365,3
"95",1314,-2786282.1083801,7098047.84807365,3
"96",1315,-2686282.1083801,7098047.84807365,3
"97",1316,-2586282.1083801,7098047.84807365,3
"98",1483,-2686282.1083801,6974047.84807365,3
"99",1644,-2786282.1083801,6850047.84807365,3
"100",5097,-10786282.1083801,4122047.84807365,4
"101",6444,-7286282.1083801,3006047.84807365,5
"102",6718,-6986282.1083801,2758047.84807365,5
"103",10060,15013717.8916199,-1085952.15192635,6
"104",8275,12113717.8916199,1146047.84807365,7
"105",12052,12213717.8916199,-4185952.15192635,8
"106",11877,10613717.8916199,-3813952.15192635,9
"107",11878,10713717.8916199,-3813952.15192635,9
"108",11998,10213717.8916199,-4061952.15192635,9
"109",12045,10213717.8916199,-4185952.15192635,9
"110",7478,-8486282.1083801,2014047.84807365,10
"111",8386,-8186282.1083801,898047.84807365,11
"112",727,9913717.8916199,7594047.84807365,12
"113",4276,4413717.8916199,4866047.84807365,13
"114",8477,9413717.8916199,898047.84807365,14
"115",3097,-4786282.1083801,5734047.84807365,15
"116",10050,13713717.8916199,-1085952.15192635,16
"117",11943,10613717.8916199,-3937952.15192635,17
"118",12001,10513717.8916199,-4061952.15192635,17
"119",7466,-9786282.1083801,2014047.84807365,18
"120",9631,5513717.8916199,-589952.15192635,19
"121",7781,12213717.8916199,1766047.84807365,20
"122",12284,-4486282.1083801,-6045952.15192635,21
"123",12285,-4386282.1083801,-6045952.15192635,21
"124",8060,9113717.8916199,1394047.84807365,22
"125",8164,9113717.8916199,1270047.84807365,22
"126",8578,9913717.8916199,774047.84807365,23
"127",8845,9613717.8916199,402047.84807365,23
"128",8860,11813717.8916199,402047.84807365,23
"129",9845,11513717.8916199,-837952.15192635,23
"130",2932,-4186282.1083801,5858047.84807365,24
"131",3439,-4286282.1083801,5486047.84807365,25
"132",11210,15813717.8916199,-2697952.15192635,26
"133",9632,5613717.8916199,-589952.15192635,27
"134",8684,12013717.8916199,650047.84807365,28
"135",11082,5513717.8916199,-2573952.15192635,29
"136",7680,14313717.8916199,1890047.84807365,30
"137",7879,14213717.8916199,1642047.84807365,30
"138",8378,10413717.8916199,1022047.84807365,31
"139",10297,4313717.8916199,-1457952.15192635,32
"140",10298,4413717.8916199,-1457952.15192635,32
"141",8586,12213717.8916199,774047.84807365,33
"142",7861,9113717.8916199,1642047.84807365,34
"143",10149,16013717.8916199,-1209952.15192635,35
"144",10562,16413717.8916199,-1829952.15192635,36
"145",10655,16413717.8916199,-1953952.15192635,36
"146",10750,16413717.8916199,-2077952.15192635,36
"147",9656,15413717.8916199,-589952.15192635,37
"148",10147,15813717.8916199,-1209952.15192635,38
"149",5864,-1486282.1083801,3502047.84807365,39
"150",6010,-1686282.1083801,3378047.84807365,39
"151",8476,9313717.8916199,898047.84807365,40
"152",7589,-2386282.1083801,1890047.84807365,41
"153",7950,5313717.8916199,1518047.84807365,42
"154",9737,11213717.8916199,-713952.15192635,43
"155",8379,11613717.8916199,1022047.84807365,44
"156",7099,10313717.8916199,2510047.84807365,45
"157",7480,-5986282.1083801,2014047.84807365,46
"158",11209,14413717.8916199,-2697952.15192635,47
"159",12181,12213717.8916199,-4805952.15192635,47
"160",12059,12913717.8916199,-4185952.15192635,48
"161",12060,13013717.8916199,-4185952.15192635,48
"162",12093,13313717.8916199,-4309952.15192635,48
"163",12165,12613717.8916199,-4681952.15192635,49
"164",12257,-5886282.1083801,-5673952.15192635,50
"165",1895,-11586282.1083801,6602047.84807365,51
"166",12053,12313717.8916199,-4185952.15192635,52
"167",12088,12813717.8916199,-4309952.15192635,53
"168",10062,15713717.8916199,-1085952.15192635,54
"169",5275,-1586282.1083801,3998047.84807365,55
"170",4539,-2486282.1083801,4618047.84807365,56
"171",4540,-2386282.1083801,4618047.84807365,56
"172",4686,-2186282.1083801,4494047.84807365,56
"173",10933,16313717.8916199,-2325952.15192635,57
"174",10656,17513717.8916199,-1953952.15192635,58
"175",10751,17313717.8916199,-2077952.15192635,58
