"Cell" "Sorenson" "BetaSim" "MNTD"
"4" 2361 0.632011638844453 0.198787353775124 0.304274413556458
"5" 2362 0.641583095747881 0.218186200026848 0.297737164695786
"1" 2363 0.690737319739585 0.228139732841763 0.310923081159592
"2" 2368 0.756873456714454 0.226840270544048 0.375848279264245
"3" 2369 0.759598426680669 0.216365397419061 0.357218282737161
"4" 2370 0.866261828656945 0.21036037747055 0.57512128806288
"5" 2417 0.798979601738116 0.387139756424986 0.320512925770362
"1" 2418 0.744802719302064 0.287719711871044 0.319499943433555
"2" 2419 0.70614992142821 0.26438061347151 0.321312285356527
"3" 2420 0.693263672087875 0.262064103258146 0.324543587703155
"4" 2421 0.657516608592568 0.242005076736664 0.303691385815959
"1" 2422 0.639688802240945 0.231124607473094 0.290388744609587
"2" 2423 0.633267723650243 0.208039464209206 0.290935149450574
"3" 2424 0.619551884377007 0.193572711657529 0.293621543270412
"4" 2425 0.610896753421216 0.22183791643736 0.276578772729395
"5" 2426 0.617576756009523 0.214192479673236 0.277204275070474
"1" 2427 0.639951388167993 0.234018249724187 0.289440707515555
"2" 2428 0.639482982418446 0.20570185285324 0.296128746975579
"3" 2429 0.657837386649219 0.227503009104765 0.293293899499905
"4" 2434 0.760066035747803 0.233794171973546 0.373846599386677
"5" 2435 0.760963848858835 0.22867631318982 0.365282287991377
"1" 2436 0.866261828656945 0.21036037747055 0.57512128806288
"2" 2437 0.864273188437076 0.218135502090001 0.591340079218694
"3" 2483 0.780645145490753 0.326861139095583 0.327326103162421
"4" 2484 0.737985614993527 0.279370566963343 0.327958301568852
"5" 2485 0.685382187484118 0.28216058926623 0.301318826347992
"1" 2486 0.666628629776791 0.264758671162718 0.307900022130878
"2" 2487 0.640806345100188 0.237311986951012 0.295239297356109
"3" 2488 0.634113095346377 0.227606363418801 0.290396814133553
"4" 2489 0.635023134324267 0.232310153066644 0.294602367658973
"5" 2490 0.626090997528158 0.218287321101363 0.287625053450956
"1" 2491 0.619209049071252 0.222525750592049 0.270935834428011
"2" 2492 0.621458987180615 0.217754789828772 0.283618184332548
"3" 2493 0.619478057979479 0.221817345933739 0.27995687101568
"4" 2494 0.632678035829721 0.221762498322861 0.274852060057131
"5" 2495 0.644316181396142 0.221096533555112 0.278944772386678
"1" 2496 0.674578434995975 0.230755218889001 0.28366038063321
"2" 2497 0.842161590317505 0.158463401464524 0.446128451367499
"3" 2498 0.928342503387135 0.143615731775516 0.767020219802956
"4" 2500 0.753171239586716 0.232802561648828 0.369889405357921
"5" 2501 0.757121993817235 0.229070022043563 0.363995444508951
"1" 2502 0.775879009802083 0.234813557000746 0.398612022394368
"2" 2503 0.864273188437076 0.218135502090001 0.591340079218694
"3" 2548 0.821053355849743 0.373221488420995 0.32416645883446
"4" 2549 0.788366886265414 0.299510900433939 0.33321551971351
"5" 2550 0.764953328989743 0.258456436193573 0.329564686450787
"1" 2551 0.728094425189185 0.260431387962067 0.309402036555342
"2" 2552 0.713987544081854 0.250188744589257 0.293401620956172
"3" 2553 0.660957297916873 0.218692819738131 0.285756245214081
"4" 2554 0.649324831387346 0.223796930239579 0.283380311876827
"5" 2555 0.646053825738424 0.225173126273013 0.282654218444049
"1" 2556 0.638603291899953 0.209297004512135 0.289268426744834
"2" 2557 0.615427257691661 0.212903852838648 0.28118539308521
"3" 2558 0.619348526619214 0.218608873450833 0.278268893360531
"4" 2559 0.621740390086835 0.218851328990655 0.267372644694753
"5" 2560 0.624895496025706 0.22176618685116 0.270174071395193
