"Cell" "Sorenson" "BetaSim" "MNTD"
"1" 1772 0.949074347231071 0.100913763566999 1.22659291553197
"2" 1838 0.949074347231071 0.100913763566999 1.22659291553197
"3" 1904 0.913040108961981 0.111227268623588 1.02530694605221
"4" 1970 0.78015463690076 0.200617214192326 0.487565151475423
"5" 1971 0.78015463690076 0.200617214192326 0.487565151475423
"1" 2037 0.777527578536184 0.2024328092786 0.48212352357499
"2" 2103 0.773905164394682 0.207868054349754 0.464163385541092
"3" 2104 0.989493162299874 0.427764926817568 2.13851851999924
"4" 2160 0.961430690313938 0.101211499671122 1.49621603078923
"5" 2169 0.773470927886836 0.211012818057152 0.444179836642639
"1" 2222 0.720698434328645 0.227542017893922 0.329218870161971
"2" 2223 0.710494815490537 0.236010615818071 0.322187762436502
"3" 2224 0.705263739523649 0.248802754226692 0.324772746967767
"4" 2225 0.676881970847868 0.226855784406021 0.311553150819408
"5" 2226 0.654046591094274 0.22245459816708 0.294602270058587
"1" 2227 0.664004454152473 0.217078612397842 0.306661389286918
"2" 2228 0.649204505891958 0.216985158073305 0.300371348869704
"3" 2229 0.673930609284284 0.231998223448566 0.311135367972894
"4" 2235 0.769441972844677 0.215192156140687 0.431650310669204
"5" 2236 0.763083183033602 0.217537706372894 0.392098711336023
"1" 2237 0.789469317425476 0.192468314776103 0.473674380351644
"2" 2288 0.722257699896987 0.255038811426044 0.325079469020205
"3" 2289 0.714630205190878 0.236240973633759 0.320367382459658
"4" 2290 0.686421960067216 0.284308300733462 0.31094624577886
"5" 2291 0.658219403916011 0.25574398103747 0.30730807688037
"1" 2292 0.641133775204353 0.213532167709413 0.296803338065501
"2" 2293 0.63414253270292 0.202661719917095 0.299710505631009
"3" 2294 0.634959989357184 0.199285635025851 0.307529186273383
"4" 2295 0.647130602035332 0.221452359033025 0.314931826841308
"5" 2296 0.658948314828897 0.226224369108995 0.298067020450801
"1" 2301 0.913082868912645 0.127018613817541 0.971440591935326
"2" 2302 0.758680805530426 0.214925909989472 0.392191395461503
"3" 2303 0.779230127712071 0.20668413282576 0.407269385111327
"4" 2304 0.873074654599105 0.206221493556444 0.581363168580687
"5" 2352 0.758931315508208 0.318433293022178 0.314523622375799
"1" 2353 0.757299671908272 0.321728846761168 0.312179281228429
"2" 2354 0.731803481987544 0.316369630507486 0.309324204703101
"3" 2355 0.694589717200478 0.295638992590406 0.314343285034851
"4" 2356 0.674387884876152 0.260014036225709 0.304900214517035
"5" 2357 0.632463743988278 0.233816161141953 0.298226184775367
"1" 2358 0.632101395135434 0.236444383339485 0.290900226668555
"2" 2359 0.627772302273498 0.237895643928413 0.291826882394293
"3" 2360 0.625288449556122 0.221704301459962 0.290100708108362
