"IUCN.binomial" "AllGeogRange" "Body.mass.g" "LitSz" "AdultHeadBodyLen.mm" "GestLen.d" "LitPerYear" "SocGrpSz" "WeanAge.d" "SMA.d" "NeonateBodyMass.g" "MaxLifepsan.m" "PopDen.n.km2" "brain.mass.g" "IBI.d"
"Abeomelomys_sevia" 10963 54.88 1 127.29 108.113313531548 1.06572150944528 23.6781548926165 68.7599082668368 336.810665663062 6.978773880129 114.270561643556 200.986875972188 1.18799223874481 339.930163215065
"Abrawayaomys_ruschii" 105714 62.99 2.52098263358931 118.2117762305 34.2825342909363 1.8849243089381 1.00695555005672 29.8564227559226 204.092905808586 4.67479471241585 41.2735947540646 1427.41708940015 1.18328337023924 126.092694544475
"Abrocoma_bennettii" 162359 250.5 4.86 190.59307041053 30.0374454508273 2 1 54.5519837574389 243.041299243227 6.62205702218676 27.6 143.85 2.82922705179116 149.820827906684
"Abrocoma_budini" 5353 116.305 2.61164690319683 149.484985221693 37.8341266197655 1.01943695187113 1.38239989898181 48.3640788388557 295.310815015533 6.16484616848828 69.4572900473705 292.591766562654 1.64430989874075 299.863866319464
"Abrocoma_cinerea" 532000 193.64 2.19 185.920989097922 109.49 1.42564601446159 6 77.3255216340562 394.934695676171 13.26 141.168355710845 66.1358052806752 3.58561320653322 232.751409802432
"Abrocoma_famatina" 5349 89.495 2.13350977445713 144.891895615906 46.7082494025352 1.02228110899782 2.95633037855413 34.7436979213394 193.11266449707 5.98861616198763 78.7695592422372 1536.32307760769 1.23903369144445 248.111120248583
"Abrocoma_uspallata" 10111 164.2793 2.02637702368442 194.21812162237 67.1460644141526 1.02566067727061 1.71472220918712 80.1468383378304 356.793855510357 15.2181229537096 131.505497696711 92.3301057274742 3.03886149762453 350.753839640366
"Abrocoma_vaccarum" 5155 232.625 2.376904888631 207.767268448644 58.1302451733965 1.02566067727061 1.58547873865574 70.9230359552852 345.452122118463 14.4170862500896 117.676899312585 71.5755065063238 4.19761909976455 333.155182370958
"Abrothrix_andinus" 947191 24.91 3.56861816934204 91.6272330004364 24.5887220837442 1.85182977162429 1 57.9440037976594 219.904108366011 0.672874090854794 53.5227675543408 92.7115780244635 0.638769938109967 151.949082034492
"Abrothrix_hershkovitzi" 29806 29.5 2.71532798913889 102.02930207092 29.4429680308051 1.59935234904524 1.01395947979003 69.3122106308818 323.481924280198 0.727095292600534 40.9619390688721 206.390042557383 0.644581015802263 170.791403792084
