	IUCN.binomial	PD.Ref	Marine.Ref	M.M.P	IUCN.Order	ORD	Order	IUCN.Family	FAM	Family	IUCN.Genus	IUCN.Species	Common.names	Listed	Red.List.status	B.species	Population.trend	Island	TrophicDetail	TrophicDetail.Reduced	TrophicD	TrophicP	DietBreadth	TerrestrialityD	TerrestrialityP	HabMode	HabitatBreadth	ActivCycle	BodyMass.g	logBodyMass	AdultForearmLen.mm	logAdultForearmLen	AdultHeadBodyLen.mm	logAdultHeadBodyLen	AllGeogRange	logAllGeogRange	Current.GR	HomeRange.km2	logHomeRange	HomeRange.Indiv.km2	logHomeRange.Indiv.km2	PopDen.n.km2	logPopDen	SocGrpSz	logSocGrpSz	social	PopGrpSz	logPopGrpSz	SMA.d	logSMA	AgeatFirstBirth.d	logAgeFirstBirth	IBI.d	logIBI	LitSz	logLitSz	LitPerYear	logLitPerYear	TeatNo	logTeatNo	GestLen.d	logGestLen	NeonateBodyMass.g	logNeonateBodyMass	NeonateHeadBodyLen.mm	logNeonateHeadBodyLen.mm	AgeEyeOpen.d	WeanAge.d	logWeanAge	WeanBodyMass.g	logWeanBodyMass	logWeaningHeadBodyLen.mm	DispersAge.d	logDispersAge.d	MaxLifepsan.m	logMaxLifespan.m	P	BasalMetRate.mLO2hr	logBasalMetRate	BMR.lO2.hr	kcal.day	BMR.watts	logBMR.watts	BasalMetRateMass.g	brain.mass.g	logbrain.mass.g	GR.Area.km2	GR.MaxLat.dd	GR.MinLat.dd	GR.MidRangeLat.dd	GR.MaxLong.dd	GR.MinLong.dd	GR.MidRangeLong.dd	HuPopDen.Min.n.km2	HuPopDen.Mean.n.km2	HuPopDen.5p.n.km2	HuPopDen.Change	Precip.Mean.mm	logMeanPrecip	Temp.Mean.01degC	AET.Mean.mm	logAET	PET.Mean.mm	logPET	Freshwater	Coastal	Oceanic	births.on.land	All.Habitat	threatened.by.fishing.bycatch.	threatened.by.direct.hunting	threatened.by.pollution.	threatened.by.invasives.	threatened.by.development.dams.human.intrusion.	threatened.by.climate.change	All.threats	MedianNPPgC.m.2r	logMedianNPP	MinNPPgC.m.2r	MaxNPPgC.m.2r	MeanNPPgC.m.2r	StdNPP	MedianNPPgC.m.2r.1	Min.HII	Max.HII	Mean.HII	StdHII	MedianHII	logLSPop	logNPP	logDHI_CV	logMinimumFpar	logTotalAnnualFpar	Velocity	logVelocity	logLights2006	logGlob	GPP	LSPop	NPP	DHI_CV	MinimumFpar	TotalAnnualFpar	Lights2006	Glob
816	Crocidura_bottegoides	5320	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	SORICIDAE	SOR	Soricidae	Crocidura	bottegoides	Bale_Shrew	1	EN	B	decreasing	C	NA	NA	car	3	NA	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4800	3.681241237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10135.59	7.9	6.55	7.23	40.01	39.09	39.55	22	64.22	22	0.15	72.12	1.858055718	-15.89	986.13	2.993934171	1411.12	3.149563947	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.080570272	3.859525762	-0.520183954	1.391407554	3.019398341	0.22057818	-0.656437451	-1.273612007	1.301029996	11748.48592	120.3844166	7023.103661	0.301867283	24.62677563	1045.678892	0.053258385	20
841	Crocidura_fumosa	5348	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	SORICIDAE	SOR	Soricidae	Crocidura	fumosa	Smoky_White_toothed_Shrew	1	VU	B	decreasing	C	NA	NA	car	3	NA	T	NA	ter	NA	NA	14.49	1.161068385	NA	NA	NA	NA	26570	4.424391554	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.74	0.572871602	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19575.94	1.13	-0.13	0.5	37.42	35.17	36.3	9	86.66	9	0.18	77.73	1.890588668	175.33	993.86	2.997325212	1464.8	3.165778331	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.160317177	3.88234842	-0.766625385	1.617822696	3.15635654	0.178090592	-0.749359022	-0.94004862	1.301029996	15084.75099	144.64958	7152.904054	0.171149098	41.47846693	1433.364155	0.114802509	20
843	Crocidura_glassi	5349	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	SORICIDAE	SOR	Soricidae	Crocidura	glassi	Glasss_Shrew	1	VU	B	decreasing	C	NA	NA	car	3	NA	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	92021	4.963886948	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26724.54	9.5	6.74	8.12	42.02	39.07	40.54	22	89.52	33	0.15	64.33	1.808413551	100.55	979	2.990782692	1487.1	3.172340174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.069100771	3.860830915	-0.524885321	1.389353878	3.016890503	0.254362209	-0.594547412	-1.237585333	1.301029996	11910.11765	117.2467387	7108.791256	0.298617104	24.51059637	1039.658007	0.057864828	20
848	Crocidura_grayi	5356	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	SORICIDAE	SOR	Soricidae	Crocidura	grayi	Luzon_Shrew	0	LC	NA	unknown	I	NA	NA	car	3	1	T	NA	NA	NA	NA	10.7	1.029383778	NA	NA	NA	NA	17833	4.25122441	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	117062.79	18.65	12.2	15.42	124.42	119.74	122.08	19	279.22	29	0.09	233.78	2.368807354	240.62	1367.82	3.13602895	1715.75	3.234454008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	99.05	1.99585448	1.1	1883.8	971.701	1.1	990.5	40	600	203.732	62.2679	210	2.451613845	4.297858059	-0.762111836	1.524784045	3.113223863	0.312236043	-0.505516966	0.187041604	1.301029996	23202.55004	282.8875571	8813.316114	0.172937097	33.47989175	1297.848092	1.538301997	20
849	Crocidura_greenwoodi	5357	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	SORICIDAE	SOR	Soricidae	Crocidura	greenwoodi	Greenwood.s_Shrew	0	LC	NA	unknown	C	Ginsect	Insect	car	3	NA	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	54373	4.735383296	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47947.78	4.21	0.26	2.24	45.99	42.58	44.28	9	33.07	9	0.05	40.57	1.608205008	269.21	515.27	2.712034858	1794.81	3.254018481	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42.44	1.627775375	97.2	1084.1	425.029	97.2	424.4	40	320	141.553	53.1683	140	1.411260976	3.480510497	-0.485033627	1.213497323	2.853961151	1.614879399	0.208140094	-2.373794254	1.301029996	5978.452816	25.77869786	2121.883558	0.32731535	16.34923075	714.4324146	0.004228689	20
865	Crocidura_lepidura	5376	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	SORICIDAE	SOR	Soricidae	Crocidura	lepidura	Sumatran_Giant_Shrew	0	LC	NA	stable	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	428336	5.631784577	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	109.99	2.041353202	2.6	2078.9	1117.72	2.6	1099.9	0	600	163.067	74.7629	170	1.942667301	4.100963204	-0.922804168	1.72670873	3.231852554	0.849397085	-0.070889234	0.150212732	1.301029996	25164.94428	87.63292372	9657.273778	0.119452662	53.29773219	1705.503261	1.413229622	20
872	Crocidura_macarthuri	5384	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	SORICIDAE	SOR	Soricidae	Crocidura	macarthuri	Macarthur.s_Shrew	0	LC	NA	unknown	C	Ginsect	Insect	car	3	NA	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65364	4.815338621	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	437723.95	4.56	-2.92	0.81	46.63	38.06	42.34	1	14.81	1	0.06	37.71	1.576456532	273.21	556.28	2.745293446	1730.95	3.238284523	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28.19	1.450095076	113.6	1858.3	339.759	113.6	281.9	10	220	99.6287	36.3609	100	1.268704985	3.593755506	-0.485891047	1.209786408	2.827504934	1.436936249	0.157437501	-2.127306758	1.301029996	5765.946744	18.56542881	2181.848775	0.326669775	16.21012664	672.2099454	0.007459217	20
879	Crocidura_maxi	5392	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	SORICIDAE	SOR	Soricidae	Crocidura	maxi	Javanese_Shrew_Max.s_Shrew	0	LC	NA	unknown	I	NA	NA	NA	NA	NA	T	NA	NA	NA	NA	7.53	0.876794976	NA	NA	NA	NA	194298	5.28846833	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	152372.76	-3.49	-10.32	-6.9	128.34	105.2	116.77	23	596.04	23	0.05	201.34	2.303930064	244.68	1370.42	3.136853688	1640.76	3.21504506	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	102.22	2.009535877	13.3	2126.4	1067.21	13.3	1022.2	0	640	215.744	92.7871	180	2.682514967	4.317944929	-0.739917208	1.502535079	3.060293988	0.270034095	-0.568581398	0.647427022	1.301029996	23506.47667	481.4098445	10056.94987	0.182004779	31.80790597	1148.931106	4.44045039	20
881	Crocidura_montis	5399	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	SORICIDAE	SOR	Soricidae	Crocidura	montis	Montane_White_toothed_Shrew	0	LC	NA	unknown	C	Ginsect	Insect	car	3	NA	T	NA	ter	NA	NA	14.49	1.161068385	NA	NA	NA	NA	77556	4.889615402	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	86115.53	4.28	-3.48	0.4	38.21	29.92	34.07	5	121.26	6	0.16	78.61	1.895477796	193.62	1036.87	3.015724309	1531.1	3.185003556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.88	1.642266619	29.5	1951	536.683	29.5	438.8	0	600	150.633	63.0884	140	2.243000598	3.921772735	-0.701807245	1.571692156	3.126057114	0.252778948	-0.597259098	-0.305193136	1.301029996	15003.66862	174.9849097	7526.458619	0.198697661	37.29856784	1336.771305	0.495229907	20
894	Crocidura_pachyura	5364	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	SORICIDAE	SOR	Soricidae	Crocidura	pachyura	NORTH_AFRICAN_WHITE_TOOTHED_SHREW_North_African_White_toothed_Shrew_Pantellerian_Shrew	0	LC	NA	unknown	I	NA	NA	NA	NA	NA	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1106	3.043755127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	93.15	36.84	36.73	36.78	12.06	11.92	11.99	175	175	175	0.00575	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	410.9	2190.3	1064.4	410.9	982.8	0	0	0	0	0	2.046612575	4.231950641	-0.533905535	1.272890077	2.901288797	0.357350588	-0.446905499	0.885147954	1.301029996	14508.17953	111.3300938	9035.441587	0.292478849	18.74519992	796.6889563	7.676229566	20
920	Crocidura_tenuis	5451	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	SORICIDAE	SOR	Soricidae	Crocidura	tenuis	Timor_Shrew_Thin_Shrew	NA	DD	NA	unknown	I	NA	NA	NA	NA	NA	T	NA	NA	NA	NA	9.43	0.974511693	NA	NA	NA	NA	2160	3.334453751	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28767.92	-8.32	-10.37	-9.35	127.3	123.44	125.37	29	78.02	33	0.1	111.37	2.04676822	246.44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.921763174	4.32281884	-0.726968372	1.487193124	3.055960565	0.187232787	-0.727618098	-0.79649028	1.301029996	20583.87325	83.51474773	8830.738454	0.187513106	30.70387038	1137.523992	0.159775329	20
1134	Desmana_moschata	5277	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	TALPIDAE	TAL	Talpidae	Desmana	moschata	RUSSIAN_DESMAN_Russian_Desman	1	VU	NA	decreasing	C	Ginsect	Insect	car	2	4	T	1	ter	3	B	427.64	2.631078321	NA	NA	203.1	2.307709923	1251301	6.097361792	"1,209,490"	0.00491	-2.309124294	0.00527	-2.27810962	NA	NA	NA	NA	Y	2	0.301029996	NA	NA	NA	NA	NA	NA	3.63	0.559906625	2	0.301029996	NA	NA	46.53	1.667733053	NA	NA	NA	NA	NA	39.7	1.598790507	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0.602059991	1225328.6	59.55	45.53	52.54	56.68	30.69	43.69	1	54.46	3	0.00851	36.13	1.557867962	50.31	374.6	2.573567773	498.38	2.697560606	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33.93	1.53058386	19.8	1032.9	325.967	19.8	339.3	10	600	209.22	86.621	210	1.391728314	3.735792281	-0.231509717	0.880029873	2.911410371	1.165837996	0.066638205	0.577144421	1.301029996	7046.849735	24.64497112	3837.603111	0.58680024	7.586297563	815.474473	3.776977702	20
2873	Neomys_teres	5545	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	SORICIDAE	SOR	Soricidae	Neomys	teres	Transcaucasian_Water_Shrew	0	LC	NA	unknown	C	Ginsect	Insect	car	3	NA	T	1	ter	3	NA	12.85	1.109049809	NA	NA	86.94	1.939219636	15976	4.203468052	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	541334.36	46.48	37.92	42.2	50.37	35.96	43.16	1	89.84	7	0.03	52.66	1.721480855	67.94	523.97	2.719306422	751.54	2.8759521	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	50.89	1.706632451	35.9	803.3	517.683	124.679	508.9	140	540	206.415	61.2093	180	1.587608076	3.862355322	-0.280079008	1.086090569	2.89680696	0.291140349	-0.535897602	0.339839102	1.301029996	7599.706552	38.69083266	4474.668238	0.524711995	12.19243836	788.5095539	2.186951249	20
4225	Sorex_antinorii	5577	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	SORICIDAE	SOR	Soricidae	Sorex	antinorii	VALAIS_SHREW_Valais_Shrew	NA	DD	NA	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	292013	5.465402186	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.069040614	4.218299701	-0.483666607	1.33886264	3.003247873	0.407620213	-0.389744288	1.289974616	1.301029996	12937.20499	117.2304991	7863.087539	0.328347257	21.82039658	1007.506538	19.49730637	20
4274	Sorex_raddei	5621	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	SORICIDAE	SOR	Soricidae	Sorex	raddei	Radde.s_Shrew	0	LC	NA	unknown	C	Ginsect	Insect	car	3	NA	T	NA	ter	NA	NA	10	1	NA	NA	NA	NA	518529	5.71477305	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.69	0.42975228	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	528211.09	45.53	38.69	42.11	50.37	32.29	41.33	2	91.62	14	0.02	53.6	1.72916479	65.52	527.05	2.721851818	776.43	2.890102307	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	45.43	1.657342737	3.9	1640.9	468.611	3.9	454.3	0	600	205.887	72.1106	180	1.640695958	3.941392335	-0.293021834	1.150155464	2.943921117	0.243899886	-0.612788403	0.333283797	1.301029996	9060.619603	43.72159105	5282.352138	0.509305265	14.1304328	878.8628706	2.154188965	20
4277	Sorex_samniticus	5623	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	SORICIDAE	SOR	Soricidae	Sorex	samniticus	Appenine_Shrew_Appennine_Shrew	0	LC	NA	unknown	C	Ginsect	Insect	car	3	NA	T	NA	ter	NA	NA	8.24	0.915927212	NA	NA	NA	NA	146833	5.166823672	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57915.64	45.16	37.91	41.53	16.77	9.62	13.2	49	234.4	73	0.00431	73.64	1.86711378	128.49	566.59	2.753268905	898.88	2.953701718	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60.63	1.782687568	51.4	1957.9	640.673	51.4	606.3	40	640	282.456	112.237	260	2.060385548	4.247499205	-0.585454385	1.39446027	3.020753605	0.287386887	-0.541533052	1.241386903	1.301029996	14962.21641	114.9173356	8841.462634	0.259744054	24.80049047	1048.947144	17.43359301	20
4278	Sorex_satunini	5624	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	SORICIDAE	SOR	Soricidae	Sorex	satunini	Caucasian_Shrew	0	LC	NA	unknown	C	NA	NA	NA	NA	NA	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	258891	5.413116953	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	601088.01	45.69	38.87	42.28	50.37	26.12	38.24	2	106.65	17	0.03	53.08	1.724930914	71.52	513.32	2.710388186	818.1	2.912806393	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	46.64	1.668758542	3.9	1640.9	483.772	3.9	466.4	0	600	200.495	66.4599	180	1.724444774	3.961354396	-0.329335399	1.160551482	2.92557806	0.335263605	-0.474613589	0.385368903	1.301029996	9040.970819	53.02061659	5320.404475	0.468451465	14.47276406	842.5158124	2.42867221	20
4293	Sorex_volnuchini	5641	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	SORICIDAE	SOR	Soricidae	Sorex	volnuchini	Caucasian_Pygmy_Shrew_Ukrainian_Shrew	0	LC	NA	unknown	C	NA	NA	NA	NA	NA	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	284315.01	45.95	40.04	43	50.37	36.59	43.48	9	115.26	15	0.03	55.9	1.747411808	59.4	574.16	2.759032933	714.89	2.854239222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.718437809	3.931718921	-0.33272578	1.176656071	2.939103795	0.244676006	-0.611408617	0.355051304	1.301029996	9017.760942	52.29230785	5284.852678	0.46480867	15.0195206	869.1681325	2.264911851	20
4402	Suncus_etruscus	5248	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	SORICIDAE	SOR	Soricidae	Suncus	etruscus	Etruscan_Shrew_Pygmy_White_toothed_Shrew_Savi.s_Pygmy_Shrew_White_toothed_Pygmy_Shrew	0	LC	NA	unknown	C	Ginsect	Insect	car	3	NA	T	NA	ter	NA	N	2.26	0.354108439	NA	NA	NA	NA	945623	5.975718027	NA	NA	NA	NA	NA	NA	NA	1	0	N	NA	NA	365	2.562292864	NA	NA	NA	NA	4	0.602059991	3.4	0.531478917	NA	NA	27.5	1.439332694	0.2	-0.698970004	14.8	1.170261715	14.5	20	1.301029996	2.06	0.31386722	NA	NA	NA	32.4	1.51054501	1.09329769	NA	NA	NA	NA	0.063	-1.200659451	NA	0.067666667	-1.169625215	5424319.83	48.83	7.57	28.2	102.32	-9.49	46.41	0	145.68	2	0.08	69.01	1.838912027	163.9	588.44	2.769702187	1153.01	3.061833074	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55.13	1.741387992	17.6	2308.7	554.862	17.6	551.3	10	640	251.495	113.926	220	2.093685897	4.190272531	-0.582726909	1.373680329	2.981758516	0.62170925	-0.206412671	0.890355638	1.301029996	12426.69607	124.0754609	6559.722206	0.261380444	23.64178856	958.8673173	7.768830355	20
4525	Talpa_levantis	5677	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	TALPIDAE	TAL	Talpidae	Talpa	levantis	Levant_Mole_LEVANT_MOLE_Levantine_Mole	0	LC	NA	stable	C	Ginsect	Insect	car	3	1	T	1	ter	2	B	90	1.954242509	NA	NA	NA	NA	800893	5.903574498	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	752785.91	46.18	34.94	40.56	52.39	23.97	38.18	9	107.5	25	0.03	53.81	1.730862992	80.01	498.66	2.697804533	870.84	2.939938369	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.77	1.588495801	3.9	1901.2	424	3.9	387.7	0	620	213.299	73.5431	180	1.930083867	4.026184308	-0.379275922	1.138243343	2.867525455	0.448016712	-0.348705786	0.661522388	1.301029996	8049.477769	85.13024182	4736.643536	0.417564989	13.74812091	737.0983776	4.586932912	20
4526	Talpa_occidentalis	5678	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	TALPIDAE	TAL	Talpidae	Talpa	occidentalis	Iberian_Mole	0	LC	NA	stable	C	Ginsect	Insect	car	3	1	T	1	ter	2	B	49.47	1.69434191	NA	NA	NA	NA	479218	5.680533122	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	371.03	2.569409026	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	279204.96	43.79	36.01	39.9	-0.4	-9.46	-4.93	3	102.37	10	-0.00403	53.93	1.73183042	130.67	487.87	2.688304113	955.17	2.980080674	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	45.17	1.654850091	17.6	2308.7	524.385	17.6	451.7	30	640	250.332	103.621	220	1.732300401	4.000478712	-0.580773195	1.314800625	2.942621866	0.454149123	-0.34280152	1.050785343	1.301029996	10923.11158	53.98839311	6934.740499	0.262558937	20.64432202	876.2375611	11.24049257	20
4527	Talpa_romana	5679	NA	Placental	EULIPOTYPHLA	SOR	Soricomorpha	TALPIDAE	TAL	Talpidae	Talpa	romana	Roman_Mole	0	LC	NA	stable	C	Ginsect	Insect	car	3	1	T	1	ter	2	B	92.5	1.966141733	NA	NA	145.45	2.162713726	103443	5.014701107	NA	0.00274	-2.562448244	0.0023	-2.637771126	1157.05	3.063352127	1	0.230448921	N	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	88832.74	43.31	37.91	40.61	18.51	11.39	14.95	50	258.83	73	0.00368	69.79	1.843793198	138.16	554.89	2.744206898	972.55	2.987911938	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60.35	1.780677274	51.4	2091.7	653.499	51.4	603.5	40	640	288.389	116.49	260	2.131350952	4.316304447	-0.574821962	1.344077079	2.965952186	0.306480437	-0.513597242	1.261883755	1.301029996	15094.8174	135.316561	8961.715319	0.266181604	22.08396647	924.5963745	18.27610964	20
